County,2021,2022,2023
Yuma,"49,496","53,296","55,215"


Fairfield,"121,905","130,214","139,006"
Hartford,"69,982","71,987","75,433"
Litchfield,"76,562","76,836","82,210"
Middlesex,"73,540","76,251","80,853"
New Haven,"64,206","64,998","68,387"
New London,"64,463","66,356","69,755"
Tolland,"63,617","64,811","67,916"
Windham,"53,604","54,342","56,773"


Kent,"49,496","50,931","52,494"
New Castle,"61,746","67,096","70,792"
Sussex,"62,311","66,480","68,532"




Alachua,"51,579","52,424","55,872"
Baker,"42,580","44,740","46,794"
Bay,"54,283","53,728","56,070"
Bradford,"40,884","41,531","43,418"
Brevard,"55,485","56,550","60,162"
Broward,"63,072","66,274","70,982"
Calhoun,"36,349","36,065","38,342"
Charlotte,"51,866","51,827","55,332"
Citrus,"45,422","44,901","47,178"
Clay,"52,615","53,891","56,382"
Collier,"121,237","125,249","134,527"
Columbia,"43,662","43,339","45,995"
DeSoto,"33,227","33,328","34,786"
Dixie,"35,310","33,669","35,895"
Duval,"55,081","56,582","58,975"
Escambia,"51,712","52,909","55,416"
Flagler,"57,803","59,190","63,819"
Franklin,"44,371","43,481","45,384"
Gadsden,"44,798","44,754","47,181"
Gilchrist,"42,808","42,433","45,053"
Glades,"32,332","31,599","32,897"
Gulf,"49,772","48,352","50,687"
Hamilton,"34,754","35,250","37,368"
Hardee,"35,785","35,063","36,871"
Hendry,"40,915","39,980","41,164"
Hernando,"46,617","46,269","49,176"
Highlands,"41,497","41,476","44,177"
Hillsborough,"57,592","59,898","63,640"
Holmes,"38,548","38,687","41,258"
Indian River,"96,551","97,627","105,827"
Jackson,"40,268","39,016","40,972"
Jefferson,"51,618","48,296","52,094"
Lafayette,"32,558","34,524","35,986"
Lake,"50,743","52,042","55,387"
Lee,"61,275","61,510","65,878"
Leon,"53,107","53,362","57,139"
Levy,"44,348","44,480","47,517"
Liberty,"35,274","33,021","35,661"
Madison,"39,950","42,146","44,697"
Manatee,"57,948","60,275","64,096"
Marion,"44,712","44,355","46,682"
Martin,"100,752","105,520","114,799"
Miami-Dade,"65,052","70,497","75,182"
Monroe,"105,768","118,434","130,525"
Nassau,"72,314","74,845","79,701"
Okaloosa,"58,909","59,475","62,236"
Okeechobee,"39,520","40,244","42,702"
Orange,"54,435","56,596","59,767"
Osceola,"44,178","44,905","47,824"
Palm Beach,"100,792","108,679","117,322"
Pasco,"51,382","53,011","56,734"
Pinellas,"65,465","67,409","71,904"
Polk,"43,780","43,103","44,430"
Putnam,"39,785","40,205","41,712"
St. Johns,"81,648","83,985","89,347"
St. Lucie,"50,510","50,996","54,842"
Santa Rosa,"55,510","56,489","59,385"
Sarasota,"79,644","79,255","85,157"
Seminole,"57,812","59,385","62,804"
Sumter,"66,960","66,114","71,231"
Suwannee,"40,752","41,594","44,416"
Taylor,"37,709","36,377","39,813"
Union,"26,134","27,029","28,946"
Volusia,"51,848","52,494","55,824"
Wakulla,"46,783","48,280","52,124"
Walton,"83,235","84,370","89,435"
Washington,"37,117","36,288","38,734"


Appling,"42,794","44,609","48,022"
Atkinson,"35,859","37,962","36,641"
Bacon,"39,625","40,616","41,682"
Baker,"51,291","49,278","47,906"
Baldwin,"41,945","43,295","45,617"
Banks,"43,100","44,808","43,896"
Barrow,"45,802","48,229","50,221"
Bartow,"47,529","49,193","51,396"
Ben Hill,"39,268","40,383","42,217"
Berrien,"40,308","41,012","41,787"
Bibb,"47,437","46,655","48,455"
Bleckley,"43,205","41,754","42,820"
Brantley,"35,430","36,520","37,617"
Brooks,"40,372","40,149","40,884"
Bryan,"55,957","58,376","60,655"
Bulloch,"39,216","39,523","40,939"
Burke,"41,819","42,364","42,661"
Butts,"41,345","41,896","44,514"
Calhoun,"35,624","34,490","35,593"
Camden,"43,723","44,809","46,608"
Candler,"41,100","41,560","42,764"
Carroll,"49,186","49,914","51,798"
Catoosa,"42,143","43,876","45,791"
