County,2021,2022,2023
Noble,"50,811","50,683","53,893"
Nowata,"44,851","45,266","49,125"
Okfuskee,"38,087","37,742","40,201"
Oklahoma,"64,273","71,160","72,954"
Okmulgee,"42,311","42,833","45,207"
Osage,"43,473","43,227","45,299"
Ottawa,"46,744","46,011","47,987"
Pawnee,"43,368","43,759","45,758"
Payne,"44,268","44,781","47,401"
Pittsburg,"42,377","42,869","45,267"
Pontotoc,"51,729","53,531","56,112"
Pottawatomie,"50,194","47,135","49,485"
Pushmataha,"40,731","39,650","41,900"
Roger Mills,"49,288","49,497","55,166"
Rogers,"52,108","52,748","55,985"
Seminole,"42,057","42,649","44,566"
Sequoyah,"42,826","42,798","44,534"
Stephens,"47,386","50,608","53,673"
Texas,"61,627","58,226","62,433"
Tillman,"40,705","41,781","41,237"
Tulsa,"66,935","75,395","78,619"
Wagoner,"48,778","48,937","51,664"
Washington,"82,944","110,159","111,286"
Washita,"40,528","41,800","42,987"
Woods,"47,716","50,235","52,976"
Woodward,"41,603","41,468","44,533"


Baker,"48,803","50,516","52,392"
Benton,"55,284","56,253","60,307"
Clackamas,"71,628","75,823","80,269"
Clatsop,"54,545","56,330","60,930"
Columbia,"53,974","55,729","59,020"
Coos,"54,684","55,424","59,838"
Crook,"52,221","54,158","57,968"
Curry,"52,030","52,705","57,405"
Deschutes,"70,556","75,972","81,025"
Douglas,"50,748","50,135","52,684"
Gilliam,"65,894","73,942","71,618"
Grant,"51,388","52,330","54,969"
Harney,"50,171","52,128","53,228"
Hood River,"66,079","66,905","71,946"
Jackson,"57,180","58,570","62,541"
Jefferson,"44,404","43,902","46,111"
Josephine,"52,513","51,561","55,038"
Klamath,"47,688","48,655","51,246"
Lake,"48,142","47,956","50,163"
Lane,"56,148","57,885","61,634"
Lincoln,"54,434","55,709","59,715"
Linn,"52,230","54,123","57,016"
Malheur,"38,843","39,887","40,360"
Marion,"54,208","55,460","58,470"
Morrow,"53,209","59,386","58,480"
Multnomah,"69,943","71,851","75,772"
Polk,"50,952","51,772","55,086"
Sherman,"65,224","68,504","66,483"
Tillamook,"54,444","58,235","61,950"
Umatilla,"48,716","50,516","53,253"
Union,"49,200","50,308","53,469"
Wallowa,"53,543","56,672","59,576"
Wasco,"52,618","53,723","56,865"
Washington,"74,715","75,130","79,139"
Wheeler,"42,862","45,204","49,563"
Yamhill,"56,090","58,698","61,974"


Adams,"55,416","56,506","58,880"
Allegheny,"69,414","71,362","75,468"
Armstrong,"53,392","56,791","58,854"
Beaver,"55,016","55,174","58,206"
Bedford,"49,771","50,263","52,510"
Berks,"57,913","58,686","61,575"
Blair,"54,826","55,071","57,782"
Bradford,"47,753","49,053","50,930"
Bucks,"83,546","87,713","92,846"
Butler,"67,680","68,762","73,039"
Cambria,"48,712","48,018","50,932"
Cameron,"52,268","51,491","54,148"
Carbon,"60,328","58,535","62,353"
Centre,"54,767","54,756","57,800"
Chester,"96,215","101,677","108,215"
Clarion,"47,303","47,685","50,175"
Clearfield,"53,641","54,951","57,841"
Clinton,"46,633","46,366","48,383"
Columbia,"50,147","50,004","52,692"
Crawford,"48,226","48,734","51,236"
Cumberland,"64,038","65,687","68,998"
Dauphin,"58,105","58,092","60,670"
Delaware,"75,729","78,930","83,368"
Elk,"50,577","50,945","53,862"
Erie,"52,723","51,554","54,694"
Fayette,"49,374","49,302","51,467"
Forest,"28,625","28,437","30,606"
Franklin,"54,799","56,112","58,380"
Fulton,"49,488","47,915","49,640"
Greene,"48,849","50,640","52,757"
Huntingdon,"45,635","45,444","46,957"
Indiana,"46,462","45,910","48,336"
Jefferson,"48,226","48,530","50,976"
Juniata,"56,579","60,088","62,851"
Lackawanna,"54,437","54,479","56,985"
Lancaster,"61,287","64,355","66,876"
Lawrence,"51,416","51,072","53,835"
Lebanon,"56,065","56,954","58,851"
Lehigh,"61,954","62,536","65,898"
Luzerne,"51,307","50,955","53,214"
Lycoming,"50,449","50,940","53,630"
McKean,"49,946","48,986","51,318"
Mercer,"48,513","48,630","51,133"
Mifflin,"46,271","47,383","49,197"
Monroe,"51,663","51,977","54,716"
Montgomery,"92,639","95,237","101,172"
Montour,"64,432","67,096","70,610"
Northampton,"61,949","64,191","68,050"
Northumberland,"48,288","48,499","50,445"
Perry,"54,388","54,842","56,411"
Philadelphia,"57,627","58,783","61,829"
Pike,"55,280","56,041","59,543"
Potter,"52,092","46,407","48,180"
Schuylkill,"49,219","49,853","52,049"
Snyder,"51,173","53,285","54,472"
Somerset,"48,575","47,188","49,685"
Sullivan,"55,400","56,482","59,379"
Susquehanna,"56,165","59,387","61,452"
Tioga,"46,281","46,793","47,580"
Union,"50,161","51,099","53,495"
Venango,"49,403","49,218","51,568"
Warren,"48,900","49,366","52,057"
Washington,"65,480","71,259","75,091"
Wayne,"52,956","54,371","57,575"
Westmoreland,"59,471","60,282","64,021"
Wyoming,"53,914","54,770","57,180"
York,"57,329","58,305","60,915"


Bristol,"85,243","87,721","92,538"
Kent,"66,011","68,119","72,004"
Newport,"81,283","84,650","89,517"
Providence,"54,947","56,179","58,572"
Washington,"78,229","78,884","83,586"


Abbeville,"40,434","41,213","43,106"
Aiken,"51,797","51,982","53,883"
Allendale,"42,587","43,551","46,875"
Anderson,"47,395","48,196","50,288"
Bamberg,"40,441","42,033","44,564"
Barnwell,"40,891","40,462","41,338"
Beaufort,"71,579","75,295","80,192"
Berkeley,"50,180","51,419","55,131"
Calhoun,"50,203","49,985","51,945"
Charleston,"74,475","78,187","83,294"
Cherokee,"39,216","40,508","41,896"
Chester,"41,525","43,368","44,918"
Chesterfield,"39,618","39,239","40,396"
Clarendon,"45,802","46,134","48,457"
Colleton,"42,477","43,657","46,418"
Darlington,"47,198","48,114","49,772"
Dillon,"39,970","39,195","40,339"
Dorchester,"46,997","49,565","51,555"
Edgefield,"49,260","48,840","50,938"
Fairfield,"49,384","49,818","52,780"
Florence,"51,570","52,282","54,943"
Georgetown,"57,506","59,303","61,924"
Greenville,"56,128","57,838","60,866"
Greenwood,"44,181","44,376","46,153"
Hampton,"40,916","41,809","44,723"
Horry,"47,831","48,457","51,033"
Jasper,"42,367","45,075","48,687"
Kershaw,"51,845","53,598","57,000"
Lancaster,"53,354","55,455","58,926"
Laurens,"42,626","42,530","43,851"
Lee,"41,496","42,946","44,427"
Lexington,"56,175","57,241","60,682"
McCormick,"46,128","47,086","49,183"
Marion,"41,378","41,759","43,174"
Marlboro,"38,490","38,132","38,787"
Newberry,"47,270","47,995","49,870"
Oconee,"53,686","54,951","57,361"
Orangeburg,"42,361","42,590","44,277"
Pickens,"45,494","47,139","49,294"
Richland,"53,699","53,850","57,160"
Saluda,"44,376","44,683","45,923"
Spartanburg,"53,005","51,359","53,700"
Sumter,"46,803","47,477","49,704"
Union,"38,691","39,168","40,314"
Williamsburg,"39,715","39,335","40,528"
York,"57,107","59,433","62,604"


Aurora,"56,323","60,972","62,896"
Beadle,"57,517","59,205","62,173"
Bennett,"46,043","50,582","50,005"
Bon Homme,"48,154","57,880","55,240"
Brookings,"55,462","59,247","62,408"
Brown,"70,313","73,976","75,470"
Brule,"62,653","72,255","74,055"
Buffalo,"34,949","37,709","36,239"
Butte,"48,143","47,947","51,470"
Campbell,"83,945","84,954","74,502"
Charles Mix,"51,663","55,203","57,355"
Clark,"75,783","89,184","92,623"
Clay,"45,230","48,720","49,412"
Codington,"66,408","64,358","67,768"
Corson,"40,134","42,407","39,427"
Custer,"62,430","63,933","68,449"
Davison,"60,753","65,890","67,849"
Day,"69,625","73,494","73,994"
Deuel,"67,270","70,649","75,160"
Dewey,"55,351","55,477","55,915"
Douglas,"70,350","77,515","76,934"
Edmunds,"91,114","101,771","93,731"
Fall River,"54,786","54,948","59,842"
Faulk,"87,529","100,821","92,449"
Grant,"66,479","70,945","74,933"
Gregory,"59,653","61,396","64,034"
Haakon,"79,259","77,937","84,084"
Hamlin,"62,459","65,703","69,757"
Hand,"83,848","88,724","88,410"
Hanson,"75,716","83,136","82,440"
Harding,"62,057","52,013","46,360"
Hughes,"62,717","64,285","67,656"
Hutchinson,"66,441","75,871","75,370"
Hyde,"75,988","82,549","76,842"
Jackson,"41,223","45,241","45,622"
Jerauld,"67,926","82,220","83,863"
Jones,"90,765","77,379","68,393"
Kingsbury,"73,548","75,935","81,021"
Lake,"71,464","84,343","89,740"
Lawrence,"66,914","71,209","75,362"
Lincoln,"81,004","84,388","88,589"
Lyman,"55,877","59,722","57,455"
McCook,"68,753","74,201","73,312"
McPherson,"73,147","82,114","78,240"
Marshall,"77,463","78,331","78,539"
Meade,"52,754","54,673","57,635"
Mellette,"45,932","47,019","49,520"
Miner,"70,620","78,122","82,324"
Minnehaha,"72,596","72,062","74,873"
Moody,"66,556","65,810","71,327"
Oglala Lakota,"36,998","36,742","36,222"
Pennington,"67,509","70,030","73,485"
Perkins,"52,082","54,855","53,149"
Potter,"78,711","83,012","78,059"
Roberts,"50,855","56,147","56,917"
Sanborn,"64,176","66,367","73,160"
Spink,"82,147","93,419","97,495"
Stanley,"80,653","77,783","79,790"
Sully,"103,743","102,117","98,031"
Todd,"38,022","36,533","37,812"
Tripp,"61,564","66,712","67,191"
Turner,"66,025","78,104","78,376"
Union,"120,277","131,131","139,931"
Walworth,"61,710","64,275","65,619"
Yankton,"63,137","67,445","70,996"
Ziebach,"32,597","34,577","37,969"


Anderson,"51,271","53,607","56,260"
Bedford,"45,595","47,410","47,850"
Benton,"41,632","41,914","43,832"
Bledsoe,"34,388","35,182","36,038"
Blount,"52,907","55,312","58,447"
Bradley,"46,628","48,065","50,014"
Campbell,"42,634","43,205","44,694"
Cannon,"44,247","46,695","48,732"
Carroll,"42,458","42,468","44,182"
Carter,"40,683","40,863","42,833"
Cheatham,"53,834","57,638","59,907"
Chester,"41,930","41,085","43,542"
Claiborne,"42,113","42,772","44,367"
Clay,"39,750","41,327","39,424"
Cocke,"40,996","40,651","42,387"
Coffee,"46,742","47,687","50,163"
Crockett,"49,070","48,243","50,106"
Cumberland,"44,792","45,530","48,091"
Davidson,"83,008","87,568","92,496"
Decatur,"49,622","49,142","52,005"
DeKalb,"48,441","48,847","50,940"
Dickson,"50,326","52,968","54,986"
Dyer,"52,049","51,006","53,828"
Fayette,"72,077","76,980","81,728"
Fentress,"42,447","41,810","43,102"
Franklin,"46,433","47,746","49,891"
Gibson,"46,667","46,850","49,536"
Giles,"43,975","45,001","47,548"
Grainger,"42,856","43,630","45,678"
Greene,"42,456","43,721","44,945"
Grundy,"39,193","38,989","40,453"
Hamblen,"47,382","47,899","50,094"
Hamilton,"59,664","62,241","65,525"
Hancock,"33,327","32,401","33,223"
Hardeman,"36,255","35,079","36,966"
Hardin,"45,317","45,206","47,525"
Hawkins,"41,472","41,853","44,192"
Haywood,"40,469","38,728","40,397"
Henderson,"46,467","46,035","48,395"
Henry,"51,951","53,517","55,959"
Hickman,"42,052","43,462","45,298"
Houston,"39,441","39,334","41,112"
Humphreys,"44,435","44,674","47,364"
Jackson,"38,228","38,286","40,132"
Jefferson,"45,398","45,718","48,184"
Johnson,"38,709","39,284","40,345"
Knox,"62,742","63,634","67,323"
Lake,"32,760","30,176","32,554"
Lauderdale,"41,851","39,746","41,198"
Lawrence,"41,852","41,698","43,273"
Lewis,"41,742","41,937","44,554"
Lincoln,"49,330","49,396","51,229"
Loudon,"64,528","66,918","70,063"
McMinn,"43,540","43,962","45,629"
McNairy,"38,988","38,427","40,085"
Macon,"39,384","41,149","41,530"
Madison,"52,102","52,126","55,537"
Marion,"47,540","49,519","51,590"
Marshall,"47,372","49,111","50,555"
Maury,"51,926","54,250","57,191"
Meigs,"39,913","40,681","41,017"
Monroe,"42,225","42,530","44,350"
Montgomery,"49,592","50,009","52,478"
Moore,"49,116","48,831","51,017"
Morgan,"37,244","38,505","40,237"
Obion,"50,177","49,348","51,945"
Overton,"40,761","40,604","42,000"
Perry,"37,732","35,759","37,048"
Pickett,"43,214","41,636","42,545"
Polk,"40,313","41,748","42,519"
Putnam,"48,229","48,938","51,132"
Rhea,"43,579","43,791","45,745"
Roane,"49,851","50,869","53,353"
Robertson,"51,772","53,977","56,484"
Rutherford,"50,100","52,122","54,623"
Scott,"37,731","37,530","39,326"
Sequatchie,"45,532","45,529","48,254"
Sevier,"51,742","54,656","57,533"
Shelby,"59,191","59,078","61,979"
Smith,"48,103","47,955","50,388"
Stewart,"49,186","48,554","50,483"
Sullivan,"51,006","51,628","54,453"
Sumner,"60,183","64,900","67,865"
Tipton,"49,715","50,178","52,829"
Trousdale,"37,624","38,261","40,015"
Unicoi,"42,822","43,539","45,593"
Union,"40,980","41,344","43,407"
Van Buren,"36,688","35,142","36,828"
Warren,"42,804","42,702","44,375"
Washington,"52,818","52,955","55,967"
Wayne,"35,724","36,576","38,758"
Weakley,"45,980","45,740","47,451"
White,"42,325","41,610","42,866"
Williamson,"112,642","121,424","128,610"
Wilson,"62,049","64,741","68,675"


Anderson,"43,311","44,505","46,478"
Andrews,"51,441","54,413","57,526"
Angelina,"46,679","48,246","51,080"
Aransas,"60,866","63,066","68,361"
Archer,"60,307","64,590","67,573"
Armstrong,"61,261","67,171","71,357"
Atascosa,"45,736","46,445","48,387"
Austin,"60,255","61,168","65,441"
Bailey,"54,449","51,993","57,209"
Bandera,"58,312","58,536","62,073"
Bastrop,"43,444","44,802","47,331"
Baylor,"58,945","65,149","62,964"
Bee,"34,147","34,725","37,156"
Bell,"50,048","49,139","51,898"
Bexar,"51,734","54,658","57,096"
Blanco,"72,389","74,009","78,045"
Borden,"94,686","155,753","155,670"
Bosque,"51,653","53,621","57,123"
Bowie,"49,083","48,250","51,132"
Brazoria,"56,275","56,395","60,088"
Brazos,"48,243","47,440","50,236"
Brewster,"55,331","54,386","58,475"
Briscoe,"62,859","74,322","62,907"
Brooks,"43,440","42,084","45,257"
Brown,"46,031","46,835","49,825"
Burleson,"54,009","57,764","61,181"
Burnet,"61,326","63,290","67,112"
Caldwell,"40,605","42,512","44,202"
Calhoun,"63,213","57,128","59,827"
Callahan,"50,610","51,295","54,394"
Cameron,"38,105","36,934","38,523"
Camp,"49,854","48,986","50,426"
Carson,"56,787","55,325","61,595"
Cass,"46,368","46,678","49,130"
Castro,"85,045","95,383","108,479"
Chambers,"60,086","60,763","65,907"
Cherokee,"43,362","44,284","46,221"
Childress,"39,359","46,983","44,285"
Clay,"52,242","53,256","57,095"
Cochran,"58,281","65,793","49,855"
Coke,"51,409","52,345","56,377"
Coleman,"57,312","58,555","62,085"
Collin,"77,920","82,111","86,860"
Collingsworth,"55,368","54,865","58,742"
Colorado,"61,225","59,069","64,084"
Comal,"71,183","71,761","77,224"
Comanche,"51,265","53,883","55,417"
Concho,"39,240","42,990","41,175"
Cooke,"58,615","59,366","62,126"
Coryell,"37,415","37,443","39,462"
Cottle,"75,306","98,226","106,885"
Crane,"50,237","54,071","57,616"
Crockett,"58,205","60,235","68,799"
Crosby,"52,254","55,928","55,085"
Culberson,"70,671","84,342","96,410"
Dallam,"73,287","70,032","82,618"
Dallas,"72,408","76,654","79,626"
Dawson,"45,683","56,349","54,953"
Deaf Smith,"62,875","66,644","75,549"
Delta,"47,631","46,899","49,467"
Denton,"70,633","73,537","77,733"
DeWitt,"62,144","74,875","77,489"
Dickens,"48,357","53,178","56,301"
Dimmit,"52,834","52,061","55,714"
Donley,"49,011","48,165","52,905"
Duval,"48,258","49,025","52,669"
Eastland,"56,437","53,615","56,246"
Ector,"52,569","55,329","58,961"
Edwards,"73,304","70,598","82,497"
Ellis,"53,707","54,454","57,977"
El Paso,"44,232","44,092","46,753"
Erath,"47,549","50,354","53,610"
Falls,"42,856","43,682","47,110"
Fannin,"46,889","46,493","49,380"
Fayette,"67,820","68,234","72,230"
Fisher,"56,991","64,898","62,676"
Floyd,"53,341","52,013","51,829"
Foard,"62,292","74,563","65,386"
Fort Bend,"66,958","68,752","73,855"
Franklin,"51,380","56,477","56,987"
Freestone,"44,408","44,822","47,097"
Frio,"39,216","39,382","41,270"
Gaines,"48,577","53,603","56,478"
Galveston,"58,913","60,925","64,574"
Garza,"31,908","47,400","49,585"
Gillespie,"79,692","86,589","93,310"
Glasscock,"97,510","132,134","132,049"
Goliad,"55,743","58,893","62,484"
Gonzales,"56,235","65,052","64,553"
Gray,"46,540","49,610","53,508"
Grayson,"52,462","53,088","55,946"
Gregg,"54,914","57,290","59,997"
Grimes,"43,625","42,300","44,487"
Guadalupe,"53,212","55,289","58,644"
Hale,"42,433","44,675","45,103"
Hall,"50,210","47,574","49,814"
Hamilton,"70,499","69,445","70,580"
Hansford,"78,373","83,825","103,818"
Hardeman,"55,301","59,911","60,392"
Hardin,"52,971","52,853","56,424"
Harris,"65,949","70,644","73,862"
Harrison,"47,267","47,843","50,269"
Hartley,"85,127","87,980","107,013"
Haskell,"47,029","53,724","53,538"
Hays,"56,975","60,327","64,671"
Hemphill,"69,046","77,591","90,724"
Henderson,"48,144","49,977","52,297"
Hidalgo,"34,807","32,961","34,373"
Hill,"49,627","49,927","52,054"
Hockley,"50,152","52,411","53,348"
Hood,"60,988","62,433","66,521"
Hopkins,"50,262","53,768","55,098"
Houston,"49,300","50,420","53,657"
Howard,"50,412","63,237","66,751"
Hudspeth,"39,094","36,370","41,438"
Hunt,"47,442","47,319","50,287"
Hutchinson,"48,192","49,651","52,596"
Irion,"74,312","78,474","85,857"
Jack,"47,763","50,439","52,599"
Jackson,"50,852","51,180","54,702"
Jasper,"50,248","50,341","53,205"
Jeff Davis,"57,636","60,640","67,092"
Jefferson,"47,408","47,661","50,131"
Jim Hogg,"42,023","41,520","44,294"
Jim Wells,"48,026","48,793","51,458"
Johnson,"51,464","52,389","55,487"
Jones,"38,853","41,681","41,722"
Karnes,"68,036","80,146","83,442"
Kaufman,"50,845","49,502","53,843"
Kendall,"100,160","102,738","110,116"
Kenedy,"49,248","37,099","45,802"
Kent,"52,100","67,270","71,715"
Kerr,"61,637","63,913","69,038"
Kimble,"56,438","54,517","59,148"
King,"89,547","131,940","139,825"
Kinney,"43,034","41,321","44,642"
Kleberg,"45,278","45,835","49,333"
Knox,"51,783","54,750","52,798"
Lamar,"50,934","50,162","51,936"
Lamb,"54,212","62,476","63,169"
Lampasas,"59,562","58,896","62,665"
La Salle,"45,771","47,923","50,247"
Lavaca,"61,685","66,720","71,664"
Lee,"58,026","54,917","59,542"
Leon,"54,295","58,315","62,631"
Liberty,"41,918","41,463","44,184"
Limestone,"47,965","47,358","52,196"
Lipscomb,"110,843","132,188","141,712"
Live Oak,"46,164","47,696","50,483"
Llano,"64,032","67,256","72,121"
Loving,"135,519","174,523","223,419"
Lubbock,"51,220","51,641","54,313"
Lynn,"58,720","69,249","65,814"
McCulloch,"47,323","49,754","53,630"
McLennan,"49,663","50,861","53,941"
McMullen,"92,419","112,627","117,599"
Madison,"41,884","42,610","45,527"
Marion,"48,483","49,627","52,570"
Martin,"84,813","105,890","107,395"
Mason,"58,413","56,440","63,450"
Matagorda,"50,845","49,952","53,090"
Maverick,"38,919","38,293","41,009"
Medina,"49,662","49,907","52,854"
Menard,"48,840","47,379","52,791"
Midland,"120,496","145,500","144,532"
Milam,"45,763","47,329","51,236"
Mills,"52,362","54,476","58,522"
Mitchell,"35,719","40,025","40,541"
Montague,"46,553","47,028","50,251"
Montgomery,"71,479","73,866","78,644"
Moore,"55,525","58,914","61,988"
Morris,"47,680","48,623","50,538"
Motley,"39,879","48,854","55,185"
Nacogdoches,"45,807","48,146","50,541"
Navarro,"45,121","44,762","46,891"
Newton,"43,629","42,829","44,866"
Nolan,"51,845","53,138","56,320"
Nueces,"53,624","53,762","56,833"
Ochiltree,"62,190","65,165","72,100"
Oldham,"75,068","77,077","89,268"
Orange,"49,183","49,136","51,982"
Palo Pinto,"51,250","51,806","54,995"
Panola,"52,389","57,564","60,434"
Parker,"66,362","69,023","74,009"
Parmer,"64,399","72,223","77,006"
Pecos,"42,406","44,938","49,691"
Polk,"47,501","47,138","49,945"
Potter,"55,167","56,086","58,933"
Presidio,"60,560","60,360","65,420"
Rains,"41,708","41,502","44,559"
Randall,"56,201","56,753","60,604"
Reagan,"60,057","69,524","71,887"
Real,"56,399","57,193","61,576"
Red River,"52,615","52,969","55,403"
Reeves,"57,832","68,048","76,555"
Refugio,"54,077","56,807","57,772"
Roberts,"55,583","59,397","64,762"
Robertson,"51,842","55,615","58,609"
Rockwall,"72,243","72,518","77,307"
Runnels,"50,457","55,540","55,707"
Rusk,"44,282","45,324","47,312"
Sabine,"46,250","45,195","47,303"
San Augustine,"51,221","56,539","58,852"
San Jacinto,"45,491","44,411","47,030"
San Patricio,"50,667","50,272","53,429"
San Saba,"43,162","43,949","48,235"
Schleicher,"52,894","62,164","61,904"
Scurry,"46,414","51,465","54,065"
Shackelford,"99,262","118,591","91,109"
Shelby,"55,956","65,019","64,203"
Sherman,"126,500","120,922","173,932"
Smith,"62,358","65,495","66,887"
Somervell,"56,179","58,146","62,988"
Starr,"33,789","31,646","32,785"
Stephens,"45,813","47,241","49,206"
Sterling,"63,520","65,388","71,876"
Stonewall,"88,007","94,930","95,644"
Sutton,"68,875","68,609","75,645"
Swisher,"71,963","78,991","85,037"
Tarrant,"60,515","63,468","65,765"
Taylor,"53,940","55,384","58,181"
Terrell,"62,958","64,102","66,721"
Terry,"45,036","53,446","49,822"
Throckmorton,"67,602","56,578","53,588"
Titus,"48,491","51,331","52,359"
Tom Green,"59,635","60,883","65,314"
Travis,"80,824","86,933","91,887"
Trinity,"46,379","46,522","49,195"
Tyler,"43,022","42,031","44,662"
Upshur,"44,137","44,243","46,654"
Upton,"63,206","79,542","88,874"
Uvalde,"52,827","51,812","55,211"
Val Verde,"47,240","47,421","50,112"
Van Zandt,"45,173","45,781","48,399"
Victoria,"57,361","55,873","58,912"
Walker,"33,331","33,731","35,913"
Waller,"50,332","51,382","55,463"
Ward,"55,169","60,410","67,647"
Washington,"68,834","69,605","73,880"
Webb,"41,029","40,674","42,757"
Wharton,"53,164","52,426","55,902"
Wheeler,"48,329","49,298","54,067"
Wichita,"49,848","52,585","55,278"
Wilbarger,"65,095","63,837","67,115"
Willacy,"37,575","34,348","35,832"
Williamson,"63,098","68,002","72,828"
Wilson,"55,161","56,370","59,578"
Winkler,"63,268","67,231","75,821"
Wise,"54,120","55,498","59,092"
Wood,"47,319","48,749","50,764"
Yoakum,"50,233","59,487","61,028"
Young,"59,055","65,820","69,691"
Zapata,"33,375","32,715","34,154"
Zavala,"43,247","43,498","47,333"


Beaver,"48,110","44,975","39,982"
Box Elder,"45,381","47,784","50,990"
Cache,"49,283","48,903","50,603"
Carbon,"45,887","46,858","49,335"
Daggett,"50,681","49,212","52,788"
Davis,"56,679","59,173","62,449"
Duchesne,"45,161","48,053","51,352"
Emery,"39,533","40,878","42,317"
Garfield,"52,936","51,930","53,930"
Grand,"69,321","71,731","77,028"
Iron,"39,860","40,371","42,301"
Juab,"50,070","51,325","52,701"
Kane,"54,662","51,436","53,294"
Millard,"45,301","49,267","49,823"
Morgan,"68,537","67,498","71,630"
Piute,"49,605","63,355","61,075"
Rich,"45,310","47,284","52,239"
Salt Lake,"64,694","67,827","71,787"
San Juan,"35,079","36,570","38,753"
Sanpete,"40,474","43,062","43,717"
Sevier,"43,088","44,511","46,183"
Summit,"217,499","241,155","259,993"
Tooele,"45,211","46,911","50,274"
Uintah,"36,179","38,844","41,619"
Utah,"52,065","54,335","57,619"
Wasatch,"78,902","86,398","92,354"
Washington,"50,741","51,650","54,405"
Wayne,"52,607","52,733","56,495"
Weber,"50,067","52,970","55,832"


Addison,"59,352","61,851","64,395"
Bennington,"58,446","61,577","65,638"
Caledonia,"50,057","51,353","53,640"
Chittenden,"67,404","72,102","76,222"
Essex,"45,980","46,138","47,952"
Franklin,"54,571","55,937","57,298"
Grand Isle,"68,004","71,058","74,532"
Lamoille,"60,722","64,141","68,121"
Orange,"54,972","56,166","59,235"
Orleans,"52,764","53,380","55,293"
Rutland,"56,191","59,129","61,702"
Washington,"66,673","69,964","73,602"
Windham,"55,036","56,148","59,401"
Windsor,"65,963","67,866","72,177"


Accomack,"56,534","54,864","52,443"
Amelia,"50,738","54,336","54,587"
Amherst,"44,145","45,026","47,385"
Appomattox,"45,682","46,002","47,873"
Arlington,"109,431","117,273","124,345"
Bath,"72,876","73,371","77,195"
Bedford,"53,622","54,872","57,877"
Bland,"42,421","43,800","46,796"
Botetourt,"58,134","59,932","64,012"
Brunswick,"40,290","42,124","45,693"
Buchanan,"43,325","45,462","49,335"
Buckingham,"37,654","39,850","39,823"
Caroline,"50,756","51,644","54,299"
Charles City,"59,661","59,040","61,647"
Charlotte,"44,623","46,542","47,697"
Chesterfield,"62,152","62,948","66,800"
Clarke,"75,372","77,014","82,974"
Craig,"46,875","47,820","50,734"
Culpeper,"54,469","57,017","60,129"
Cumberland,"45,402","47,205","48,063"
Dickenson,"40,555","41,979","44,423"
Essex,"51,616","53,037","55,859"
Fauquier,"79,388","81,932","86,886"
Floyd,"48,107","49,376","53,008"
Fluvanna,"52,440","53,675","57,422"
Franklin,"50,765","52,641","55,820"
Giles,"48,133","49,867","53,100"
Gloucester,"56,403","57,410","61,214"
Goochland,"110,349","117,998","125,932"
Grayson,"38,203","39,423","40,784"
Greene,"50,316","52,593","55,760"
Halifax,"43,477","45,261","47,960"
Hanover,"69,372","72,751","77,005"
Henrico,"74,450","73,807","77,783"
Highland,"50,887","52,174","50,924"
Isle of Wight,"62,515","64,327","69,100"
King and Queen,"54,852","56,077","59,339"
King George,"62,960","62,711","65,579"
King William,"53,714","54,889","57,290"
Lancaster,"70,409","76,501","82,071"
Lee,"37,995","39,709","41,822"
Loudoun,"92,022","96,372","102,229"
Louisa,"50,620","51,304","52,957"
Lunenburg,"39,499","39,415","41,578"
Madison,"55,675","57,342","60,259"
Mathews,"65,661","68,323","72,439"
Mecklenburg,"46,283","46,598","49,625"
Middlesex,"60,525","62,117","66,200"
Nelson,"62,661","63,566","67,990"
New Kent,"96,580","115,396","124,129"
Northampton,"67,569","65,448","65,814"
Northumberland,"59,441","60,550","64,899"
Nottoway,"42,839","45,287","46,746"
Orange,"59,006","59,828","62,886"
Page,"46,586","49,114","49,221"
Patrick,"39,124","40,749","42,956"
Powhatan,"64,787","68,174","72,006"
Prince Edward,"39,188","40,040","42,333"
Pulaski,"46,445","48,601","51,836"
Rappahannock,"76,697","83,802","89,727"
Richmond,"43,467","42,959","44,081"
Russell,"39,796","41,628","43,189"
Scott,"39,382","41,613","43,448"
Shenandoah,"54,625","55,622","56,651"
Smyth,"44,170","45,321","48,244"
Stafford,"62,810","64,168","68,098"
Surry,"52,683","53,394","55,365"
Sussex,"37,967","38,285","39,253"
Tazewell,"43,136","45,456","48,157"
Warren,"55,067","56,200","59,324"
Westmoreland,"50,710","51,092","53,452"
Wythe,"43,349","45,129","47,343"





































Adams,"48,821","51,413","52,466"
Asotin,"53,481","54,250","57,199"
Benton,"54,638","54,240","56,969"
Chelan,"62,195","64,126","68,356"
Clallam,"54,279","55,887","60,321"
Clark,"63,580","65,486","69,318"
Columbia,"61,704","60,267","62,070"
Cowlitz,"54,090","55,235","57,947"
Douglas,"49,581","49,691","51,926"
Ferry,"46,547","44,800","47,534"
Franklin,"46,994","46,602","48,029"
Garfield,"57,208","59,620","57,405"
Grant,"49,078","49,133","49,727"
Grays Harbor,"47,004","47,232","49,968"
Island,"63,340","65,206","70,094"
Jefferson,"60,534","63,508","68,457"
King,"109,827","113,317","122,235"
Kitsap,"66,369","68,389","73,841"
Kittitas,"54,946","56,078","60,053"
Klickitat,"53,963","54,742","57,126"
Lewis,"51,640","56,602","59,759"
